Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain
Disp_1345,28,2058.4,75059700,0.322507,25.7106207858396,12.2937,5000.00307513394,565.401312,320.115461529473,3446.22935961311,3366.00689693467,1,NaN,Inf,Inf
Disp_1346,28,1961.14,55217800,0.301934,42.6044203388131,18.0456,4999.99899603815,538.6859352,174.031779838704,4680.16219162461,4604.9574117767,1,NaN,Inf,Inf
Disp_1347,31,1673.55,60413400,0.372764,32.250183362359,13.6902,5000.00181764631,508.9432905,237.362385425553,3630.01781324272,3573.25395640757,0,NaN,Inf,Inf
Disp_1348,42,1743.45,38244400,0.360339,23.6970488823873,18.7528,4999.99704096613,718.336269,429.636481899536,3090.88365742972,3077.55505712215,1,NaN,Inf,Inf
Disp_1349,22,2187.28,31560900,0.253996,33.8292312656453,14.9285,4999.99542592066,472.0587696,209.25444918254,2953.6649281676,2898.25434963776,1,0,3109.6272601624,0.51781564950943
Disp_135,38,2288.26,98300900,0.381404,27.8187963111534,13.1816,5000.00163072354,853.0175628,454.934048847743,5255.78068557925,5199.91500594015,1,5,3495.89095964645,0.186502352356911
Disp_1350,34,2315.62,30220200,0.392549,33.8987601839248,12.6061,4999.99610870374,772.3518948,341.590275014426,3835.56643240685,3819.16188298849,1,NaN,Inf,Inf
Disp_1351,18,2214.01,97500600,0.358705,41.9364341989618,12.0264,4999.99683426035,390.9498858,129.675838659972,4719.83879454781,4339.91162533483,1,40,627.944251547534,0.0126825589686632
Disp_1352,28,2159.66,42827300,0.365904,33.2734305264377,13.5339,4999.99728188867,593.2154088,267.756569545573,3647.46443071122,3604.69340427785,1,10,2617.32491700209,0.239928305149078
Disp_1353,18,1606.62,60320000,0.305428,28.299220183478,15.1447,5000.00008816816,283.6969596,149.202975839834,2227.64357951869,2053.85520544436,1,50,2157.83729245632,0.51781564950943
Disp_1354,42,2264.8,66301500,0.343991,44.0697449725678,19.8769,5000.00612728857,933.142896,284.110757976708,7053.76502820757,7019.50075918167,1,-85,2281.1969772444,0.196625307202339
Disp_1355,16,1788.63,82730500,0.32808,41.1431706053949,18.4781,5000.00109406522,280.7433648,96.0302763822634,3599.23353920931,3185.58928677693,1,NaN,Inf,Inf
Disp_1356,8,1773.92,57973600,0.393896,37.6609118548366,18.0673,4999.99437942915,139.2172416,54.1573012270787,1850.55056431797,1212.71206227986,1,0,898.787020133079,0.0582350753247738
Disp_1357,48,2021.55,69435700,0.329804,34.4931312188795,19.6065,5000.00291046249,951.907464,412.835190407481,6085.95144334551,6060.55784129327,1,0,5558.19719492612,0.353118687868118
Disp_1358,19,1808.99815019737,54315800,0.347157,41.5741058156593,17.0457,5000.00400207395,337.179165215288,113.431054643895,3405.91384047315,3235.92031625478,1,85,763.359614461731,0.0690740570425987
